Date,Flow,Code
2/01/1974,2.4395,15
3/01/1974,2.6526,15
4/01/1974,2.8658,15
5/01/1974,3.0789,15
6/01/1974,3.292,15
7/01/1974,3.5051,15
8/01/1974,3.7183,15
9/01/1974,3.9314,15
10/01/1974,4.1445,15
11/01/1974,4.3576,15
12/01/1974,4.5708,15
13/01/1974,4.7839,15
14/01/1974,4.997,15
15/01/1974,5.2101,15
16/01/1974,5.3905,15
17/01/1974,5.496,15
18/01/1974,5.4753,30
19/01/1974,5.1181,30
20/01/1974,5.0306,30
21/01/1974,4.959,30
22/01/1974,4.9212,30
23/01/1974,4.8403,30
24/01/1974,4.4806,30
25/01/1974,4.3759,30
26/01/1974,4.4918,30
27/01/1974,4.4985,30
28/01/1974,6.2014,30
29/01/1974,6.5197,30
30/01/1974,234.612,15
31/01/1974,6939.4365,15
1/02/1974,2211.804,15
2/02/1974,2056.765,15
3/02/1974,1263.5175,15
4/02/1974,195.2059,30
5/02/1974,77.1154,30
6/02/1974,44.788,30
7/02/1974,28.8263,30
8/02/1974,20.5817,30
9/02/1974,16.2429,30
10/02/1974,12.9752,30
11/02/1974,11.0519,30
12/02/1974,9.6851,30
13/02/1974,8.9289,30
14/02/1974,8.7523,30
15/02/1974,8.5076,30
16/02/1974,8.3408,30
17/02/1974,8.0915,30
18/02/1974,9.1817,30
19/02/1974,10.8426,30
20/02/1974,10.7442,30
21/02/1974,9.8928,30
22/02/1974,9.3099,30
23/02/1974,9.0365,30
24/02/1974,8.7262,30
25/02/1974,8.1873,30
26/02/1974,7.6069,30
27/02/1974,7.5232,30
28/02/1974,7.2294,30
1/03/1974,7.169,30
2/03/1974,7.4061,30
3/03/1974,7.2539,30
4/03/1974,7.6905,30
5/03/1974,7.8126,30
6/03/1974,7.9715,30
7/03/1974,8.0625,30
8/03/1974,8.2377,30
9/03/1974,8.3711,30
10/03/1974,8.4993,30
11/03/1974,8.6275,30
12/03/1974,8.3807,30
13/03/1974,8.4146,30
14/03/1974,8.4863,30
15/03/1974,8.5628,30
16/03/1974,8.8065,30
17/03/1974,8.9097,30
18/03/1974,9.4456,30
19/03/1974,9.3439,30
20/03/1974,9.4517,30
21/03/1974,9.7411,30
22/03/1974,9.8575,30
23/03/1974,10.4251,30
24/03/1974,10.5956,30
25/03/1974,10.9642,30
26/03/1974,11.1401,30
27/03/1974,11.4123,30
28/03/1974,11.8912,30
29/03/1974,11.6589,30
30/03/1974,12.6148,30
31/03/1974,20.2935,30
1/04/1974,15.0646,30
2/04/1974,15.9293,30
3/04/1974,16.2791,30
4/04/1974,15.6016,30
5/04/1974,15.3402,30
6/04/1974,15.8765,30
7/04/1974,16.2657,30
8/04/1974,16.8407,30
9/04/1974,18.3153,30
10/04/1974,17.7552,30
11/04/1974,18.5447,30
12/04/1974,22.3017,30
13/04/1974,21.381,30
14/04/1974,19.5664,30
15/04/1974,19.1713,30
16/04/1974,19.0705,30
17/04/1974,19.1542,30
18/04/1974,19.1414,30
19/04/1974,19.6822,30
20/04/1974,20.2086,30
21/04/1974,20.4274,30
22/04/1974,25.6583,30
23/04/1974,30.8231,30
24/04/1974,28.46,30
25/04/1974,298.4521,15
26/04/1974,96.1674,30
27/04/1974,49.1867,30
28/04/1974,400.852,15
29/04/1974,206.6498,15
30/04/1974,55.5453,30
1/05/1974,68.5139,30
2/05/1974,57.8097,30
3/05/1974,28.0086,30
4/05/1974,17.8579,30
5/05/1974,14.4156,30
6/05/1974,12.9877,30
7/05/1974,12.4193,30
8/05/1974,15.3762,30
9/05/1974,829.8604,15
10/05/1974,3454.8938,15
11/05/1974,760.7721,15
12/05/1974,137.7616,30
13/05/1974,75.7351,30
14/05/1974,3333.8721,15
15/05/1974,957.2337,15
16/05/1974,1503.3483,15
17/05/1974,253.0598,15
18/05/1974,108.5119,30
19/05/1974,71.8447,30
20/05/1974,58.867,30
21/05/1974,51.9666,30
