SWZone,River
O_CH04,Onkaparinga
O_LW02,Onkaparinga
O_UP07,Onkaparinga
O_OM12,Onkaparinga
O_CH02,Onkaparinga
O_LW04,Onkaparinga
O_BF02,Onkaparinga
O_CH06,Onkaparinga
O_OM11,Onkaparinga
O_WB04,Onkaparinga
O_LW01,Onkaparinga
O_LW05,Onkaparinga
O_LW06,Onkaparinga
O_UP04,Onkaparinga
O_UP05,Onkaparinga
O_WB02,Onkaparinga
O_WB03,Onkaparinga
O_WB06,Onkaparinga
O_WB08,Onkaparinga
O_WB07,Onkaparinga
O_WB01,Onkaparinga
O_CH03,Onkaparinga
O_WB05,Onkaparinga
O_CH08,Onkaparinga
O_CH09,Onkaparinga
O_CH01,Onkaparinga
O_CH05,Onkaparinga
O_CH07,Onkaparinga
O_IV02,Onkaparinga
O_IV04,Onkaparinga
O_IV03,Onkaparinga
O_IV01,Onkaparinga
O_MT03,Onkaparinga
O_UP01,Onkaparinga
O_MT02,Onkaparinga
O_MT01,Onkaparinga
O_UP03,Onkaparinga
O_UP02,Onkaparinga
O_BH01,Onkaparinga
O_UP08,Onkaparinga
O_CX05,Onkaparinga
O_CX06,Onkaparinga
O_CX04,Onkaparinga
O_UP06,Onkaparinga
O_UP09,Onkaparinga
O_HD02,Onkaparinga
O_HD03,Onkaparinga
O_HD04,Onkaparinga
O_HD01,Onkaparinga
O_BF04,Onkaparinga
O_BF06,Onkaparinga
O_BF03,Onkaparinga
O_EC04,Onkaparinga
O_OM03,Onkaparinga
O_BF01,Onkaparinga
O_OM01,Onkaparinga
O_EC02,Onkaparinga
O_EC03,Onkaparinga
O_EC06,Onkaparinga
O_EC01,Onkaparinga
O_EC08,Onkaparinga
O_EC07,Onkaparinga
O_EC05,Onkaparinga
O_BF05,Onkaparinga
O_BK01,Onkaparinga
O_OM06,Onkaparinga
O_OM04,Onkaparinga
O_SC02,Onkaparinga
O_BK08,Onkaparinga
O_BK04,Onkaparinga
O_BK05,Onkaparinga
O_BK06,Onkaparinga
O_BK02,Onkaparinga
O_OM05,Onkaparinga
O_OM09,Onkaparinga
O_BK03,Onkaparinga
O_BK07,Onkaparinga
O_OM02,Onkaparinga
O_CX01,Onkaparinga
O_CX03,Onkaparinga
O_CX02,Onkaparinga
O_CX07,Onkaparinga
O_AG01,Onkaparinga
O_AG02,Onkaparinga
O_AG03,Onkaparinga
O_OM07,Onkaparinga
O_SC03,Onkaparinga
O_AN01,Onkaparinga
O_AN02,Onkaparinga
O_OM08,Onkaparinga
O_OM08a,Onkaparinga
O_AN04,Onkaparinga
O_AN03,Onkaparinga
O_SC01,Onkaparinga
O_LW03,Onkaparinga
F_Mypo01,Myponga
F_Mypo03,Myponga
F_Mypo07,Myponga
F_Mypo04,Myponga
F_Mypo10,Myponga
F_Mypo06,Myponga
F_Hind01,Hindmarsh
F_Hind05,Hindmarsh
F_Hind02,Hindmarsh
F_Hind03,Hindmarsh
F_Mypo18,Myponga
F_Mypo14,Myponga
F_Mypo15,Myponga
F_Mypo17,Myponga
F_CarC05,Carrickalinga
F_CarC03,Carrickalinga
F_Hind06,Hindmarsh
F_Hind09,Hindmarsh
F_Inman01,Inman
F_Inman06,Inman
F_Hind04,Hindmarsh
F_Inman23,Inman
F_Bung08,Bungala
F_CarC04,Carrickalinga
F_Hind11,Hindmarsh
F_Inman03,Inman
F_Hind15,Hindmarsh
F_Inman20,Inman
F_Hind14,Hindmarsh
F_Inman07,Inman
F_Bung09,Bungala
F_Bung01,Bungala
F_Inman09,Inman
F_Bung04,Bungala
F_Brow01,WMLR Tribs
F_Yank07,Yankalilla
F_Inman34,Inman
F_Yank24,Yankalilla
F_Yank14,Yankalilla
F_Yank23,Yankalilla
F_Yank19,Yankalilla
F_Inman36,Inman
F_Inman24,Inman
F_Yank18,Yankalilla
F_Yank01,WMLR Tribs
F_Yank16,Yankalilla
F_Yank06,Yankalilla
F_Cool02,WMLR Tribs
F_Yank11,Yankalilla
F_AnaC01,WMLR Tribs
F_Inman29,Inman
F_Cool03,WMLR Tribs
F_Cool01,WMLR Tribs
F_Yank09,Yankalilla
F_Inman37,Inman
F_Yank17,Yankalilla
F_TunC03,WMLR Tribs
F_Yank10,Yankalilla
F_Inman38,Inman
F_Cool04,WMLR Tribs
F_Inman35,Inman
F_TunC05,WMLR Tribs
F_Inman39,Inman
F_Cool05,WMLR Tribs
F_AnaC04,WMLR Tribs
F_Deep01,WMLR Tribs
F_Inman32,Inman
F_BoHC03,WMLR Tribs
F_TunC04,WMLR Tribs
F_Call02,WMLR Tribs
F_NewH02,WMLR Tribs
F_Wait01,WMLR Tribs
F_Yatt01,WMLR Tribs
F_Wait02,WMLR Tribs
F_Deep04,WMLR Tribs
F_Cool08,WMLR Tribs
F_Cool06,WMLR Tribs
F_Wait03,WMLR Tribs
F_Yoho07,WMLR Tribs
F_Yoho03,WMLR Tribs
F_BoHC01,WMLR Tribs
F_Call01,WMLR Tribs
F_Call03,WMLR Tribs
F_Cool07,WMLR Tribs
F_Ball02,WMLR Tribs
F_Ball01,WMLR Tribs
F_Deep03,WMLR Tribs
F_BoHC02,WMLR Tribs
F_Deep05,WMLR Tribs
F_Deep02,WMLR Tribs
F_Deep06,WMLR Tribs
F_TunC07,WMLR Tribs
F_Cool12,WMLR Tribs
F_Deep08,WMLR Tribs
F_Yoho02,WMLR Tribs
F_First01,WMLR Tribs
F_BoHC04,WMLR Tribs
F_TunB02,WMLR Tribs
F_Blow01,WMLR Tribs
F_Deep09,WMLR Tribs
F_Wait04,WMLR Tribs
F_Deep10,WMLR Tribs
F_AarT04,WMLR Tribs
F_AarT01,WMLR Tribs
F_Call04,WMLR Tribs
F_Mypo02,Myponga
F_Mypo12,Myponga
F_Mypo20,Myponga
F_Mypo21,Myponga
F_Mypo19,Myponga
F_Mypo22,Myponga
F_Hind08,Hindmarsh
F_Hind10,Hindmarsh
F_Hind12,Hindmarsh
F_Hind19,Hindmarsh
F_Hind18,Hindmarsh
F_Hind17,Hindmarsh
F_Inman28,Inman
F_Inman10,Inman
F_Inman13,Inman
F_Inman11,Inman
F_Inman12,Inman
F_Inman14,Inman
F_Inman08,Inman
F_Inman15,Inman
F_Inman17,Inman
F_Inman18,Inman
F_Inman22,Inman
F_Inman19,Inman
F_CarC09,Carrickalinga
F_CarC08,Carrickalinga
F_CarC01,Carrickalinga
F_CarC06,Carrickalinga
F_CarC10,Carrickalinga
F_CarC11,Carrickalinga
F_Bung05,Bungala
F_Bung06,Bungala
F_Bung03,Bungala
F_Bung02,Bungala
F_CarH06,WMLR Tribs
F_CarH05,WMLR Tribs
F_CarH04,WMLR Tribs
F_CarH03,WMLR Tribs
F_CarH01,WMLR Tribs
F_CarH02,WMLR Tribs
F_RapB01,WMLR Tribs
F_BoHH01,WMLR Tribs
F_Wirr01,WMLR Tribs
F_Lady01,WMLR Tribs
F_Link01,WMLR Tribs
F_RapH01,WMLR Tribs
F_Para01,WMLR Tribs
F_Star01,WMLR Tribs
F_Fish01,WMLR Tribs
F_CapJ02,WMLR Tribs
F_Tunk03,WMLR Tribs
F_VicH01,WMLR Tribs
F_PortE01,WMLR Tribs
F_Gool01,WMLR Tribs
F_Tali01,WMLR Tribs
F_Cooa01,WMLR Tribs
F_Naik01,WMLR Tribs
F_AarT02,WMLR Tribs
F_Tapa04,WMLR Tribs
F_VicW01,WMLR Tribs
F_First02,WMLR Tribs
F_Balq01,WMLR Tribs
F_Bare01,WMLR Tribs
F_Ball04,WMLR Tribs
F_Yank27,Yankalilla
F_Yank22,Yankalilla
F_Yank21,Yankalilla
F_Yank20,Yankalilla
F_Yank15,Yankalilla
F_Yank13,Yankalilla
F_Yank08,Yankalilla
F_Yank05,Yankalilla
F_Yank25,Yankalilla
F_Cool10,WMLR Tribs
F_Tunk01,WMLR Tribs
F_Tunk02,WMLR Tribs
F_Tunk04,WMLR Tribs
F_TunC10,WMLR Tribs
F_TunC11,WMLR Tribs
F_TunB03,WMLR Tribs
F_Tapa03,WMLR Tribs
F_AarT06,WMLR Tribs
F_AarT05,WMLR Tribs
F_AarT03,WMLR Tribs
F_Tali02,WMLR Tribs
F_CapJ03,WMLR Tribs
F_Salt06,WMLR Tribs
F_Salt03,WMLR Tribs
F_Yoho05,WMLR Tribs
F_Yoho06,WMLR Tribs
F_RapH03,WMLR Tribs
F_RapH02,WMLR Tribs
F_Yatt07,WMLR Tribs
F_Yatt06,WMLR Tribs
F_Yatt04,WMLR Tribs
F_Yatt05,WMLR Tribs
F_Yatt02,WMLR Tribs
F_Para02,WMLR Tribs
F_AnaC11,WMLR Tribs
F_AnaC10,WMLR Tribs
F_AnaC09,WMLR Tribs
F_AnaC08,WMLR Tribs
F_AnaC06,WMLR Tribs
F_AnaC05,WMLR Tribs
F_Inman16,Inman
F_CarC02,Carrickalinga
F_Mypo23,Myponga
F_Mypo16,Myponga
F_Mypo13,Myponga
F_Yank04,Yankalilla
F_Inman31,Inman
F_Ball03,WMLR Tribs
