Date,A4260536
1/01/1974,2.4496
2/01/1974,2.60986
3/01/1974,2.77775
4/01/1974,2.95613
5/01/1974,3.14389
6/01/1974,3.33864
7/01/1974,3.54046
8/01/1974,3.74942
9/01/1974,3.96561
10/01/1974,4.18912
11/01/1974,4.42002
12/01/1974,4.65839
13/01/1974,4.90432
14/01/1974,5.15788
15/01/1974,5.38247
16/01/1974,5.49845
17/01/1974,5.47931
18/01/1974,5.12685
19/01/1974,5.03516
20/01/1974,4.96425
21/01/1974,4.8919
22/01/1974,4.82111
23/01/1974,4.47496
24/01/1974,4.3725
25/01/1974,4.4883
26/01/1974,4.48973
27/01/1974,6.1917
28/01/1974,6.51025
29/01/1974,234.60148
30/01/1974,6939.05322
31/01/1974,2211.38364
1/02/1974,2056.64995
2/02/1974,1263.32924
3/02/1974,195.17562
4/02/1974,77.08044
5/02/1974,44.73833
6/02/1974,28.81971
7/02/1974,20.60327
8/02/1974,16.24782
9/02/1974,12.95953
10/02/1974,11.05104
11/02/1974,9.68839
12/02/1974,8.9198
13/02/1974,8.76117
14/02/1974,8.49677
15/02/1974,8.34051
16/02/1974,8.08783
17/02/1974,9.18414
18/02/1974,10.86389
19/02/1974,10.7719
20/02/1974,9.89556
21/02/1974,9.3123
22/02/1974,9.00996
23/02/1974,8.70286
24/02/1974,8.19517
25/02/1974,7.60202
26/02/1974,7.53249
27/02/1974,7.23366
28/02/1974,7.16558
1/03/1974,7.38971
2/03/1974,7.25433
3/03/1974,7.69626
4/03/1974,7.83677
5/03/1974,7.95905
6/03/1974,8.05437
7/03/1974,8.22977
8/03/1974,8.36546
9/03/1974,8.49541
10/03/1974,8.62657
11/03/1974,8.37645
12/03/1974,8.41478
13/03/1974,8.49508
14/03/1974,8.55459
15/03/1974,8.79961
16/03/1974,8.91881
17/03/1974,9.44313
18/03/1974,9.34314
19/03/1974,9.44055
20/03/1974,9.74005
21/03/1974,9.84389
22/03/1974,10.45611
23/03/1974,10.62805
24/03/1974,10.97727
25/03/1974,11.1321
26/03/1974,11.43561
27/03/1974,11.88418
28/03/1974,11.65723
29/03/1974,12.6115
30/03/1974,20.29321
31/03/1974,15.06439
1/04/1974,15.93577
2/04/1974,16.29625
3/04/1974,15.62438
4/04/1974,15.34257
5/04/1974,15.89613
6/04/1974,16.28361
7/04/1974,16.83628
8/04/1974,18.29053
9/04/1974,17.7284
10/04/1974,18.53088
11/04/1974,22.30008
12/04/1974,21.38319
13/04/1974,19.57986
14/04/1974,19.17026
15/04/1974,19.06526
16/04/1974,19.15247
17/04/1974,19.13926
18/04/1974,19.70776
19/04/1974,20.19855
20/04/1974,20.41148
21/04/1974,25.64994
22/04/1974,30.80963
23/04/1974,28.46242
24/04/1974,298.4416
25/04/1974,96.16133
26/04/1974,49.18402
27/04/1974,400.86122
28/04/1974,206.64762
29/04/1974,55.54391
30/04/1974,68.51143
1/05/1974,57.81038
2/05/1974,28.0155
3/05/1974,17.85178
4/05/1974,14.42143
5/05/1974,12.97332
6/05/1974,12.42418
7/05/1974,15.36825
8/05/1974,829.8553
9/05/1974,3454.84092
10/05/1974,760.73105
11/05/1974,137.76137
12/05/1974,75.57256
13/05/1974,3333.77195
14/05/1974,957.22193
15/05/1974,1503.34091
16/05/1974,253.06446
17/05/1974,108.49864
18/05/1974,71.84818
19/05/1974,58.83906
20/05/1974,51.95783
21/05/1974,47.82245
22/05/1974,49.04014
23/05/1974,47.3587
24/05/1974,45.89888
25/05/1974,43.67388
26/05/1974,39.93259
27/05/1974,37.70666
28/05/1974,35.9947
29/05/1974,34.42961
30/05/1974,32.85178
31/05/1974,31.52272
1/06/1974,30.30441
2/06/1974,29.14698
3/06/1974,30.4629
4/06/1974,30.37185
5/06/1974,28.92302
6/06/1974,28.53144
7/06/1974,28.01632
8/06/1974,27.60205
9/06/1974,26.70817
10/06/1974,26.20629
11/06/1974,26.53624
12/06/1974,26.02401
13/06/1974,25.57238
14/06/1974,25.33749
15/06/1974,24.73496
16/06/1974,24.27746
17/06/1974,24.06804
18/06/1974,23.91726
19/06/1974,23.57153
20/06/1974,23.76044
21/06/1974,23.70625
22/06/1974,23.1284
23/06/1974,23.0015
24/06/1974,23.25693
25/06/1974,23.54847
26/06/1974,23.30496
27/06/1974,23.08905
28/06/1974,25.07322
29/06/1974,24.8626
30/06/1974,26.5711
1/07/1974,27.91218
2/07/1974,30.03131
3/07/1974,26.60152
4/07/1974,29.20817
5/07/1974,34.23008
6/07/1974,41.13532
7/07/1974,62.51543
8/07/1974,162.1032
9/07/1974,92.25149
10/07/1974,56.9563
11/07/1974,45.83033
12/07/1974,41.7599
13/07/1974,41.74567
14/07/1974,37.28724
15/07/1974,110.56814
16/07/1974,119.23305
17/07/1974,62.81833
18/07/1974,1351.61842
19/07/1974,415.34208
20/07/1974,139.94711
21/07/1974,167.19367
22/07/1974,97.9122
23/07/1974,67.00309
24/07/1974,51.1969
25/07/1974,43.48258
26/07/1974,117.00201
27/07/1974,102.03501
28/07/1974,67.17433
29/07/1974,78.846
30/07/1974,1634.06103
31/07/1974,348.15022
1/08/1974,113.0826
2/08/1974,73.72725
3/08/1974,194.01513
4/08/1974,516.46792
5/08/1974,227.86619
6/08/1974,112.00671
7/08/1974,83.30262
8/08/1974,67.94747
9/08/1974,65.77893
10/08/1974,60.32278
11/08/1974,54.63756
12/08/1974,49.45488
13/08/1974,46.07437
14/08/1974,52.69667
15/08/1974,108.04023
16/08/1974,90.00517
17/08/1974,65.30102
18/08/1974,52.78964
19/08/1974,48.95455
20/08/1974,47.1936
21/08/1974,44.95278
22/08/1974,43.32756
23/08/1974,41.51811
24/08/1974,40.36346
25/08/1974,38.94725
26/08/1974,37.95959
27/08/1974,37.54696
28/08/1974,37.34315
29/08/1974,37.22263
30/08/1974,37.18653
31/08/1974,38.92205
1/09/1974,39.74977
2/09/1974,38.3855
3/09/1974,39.48363
4/09/1974,41.32238
5/09/1974,40.35109
6/09/1974,43.62892
7/09/1974,39.32733
8/09/1974,35.61551
9/09/1974,33.25857
10/09/1974,32.20739
11/09/1974,30.90321
12/09/1974,29.9362
13/09/1974,30.9103
14/09/1974,36.12931
15/09/1974,34.56147
16/09/1974,33.32123
17/09/1974,32.55231
18/09/1974,30.29428
19/09/1974,32.41829
20/09/1974,35.18736
21/09/1974,33.3401
22/09/1974,33.32514
23/09/1974,35.34266
24/09/1974,42.34892
25/09/1974,49.87561
26/09/1974,37.8165
27/09/1974,31.71243
28/09/1974,36.38155
29/09/1974,34.53354
30/09/1974,30.18608
1/10/1974,30.21553
2/10/1974,28.87709
3/10/1974,39.27316
