Date,A4261148
23/02/2008,0.41
24/02/2008,0.395
25/02/2008,0.385
26/02/2008,0.399
27/02/2008,0.414
28/02/2008,0.375
29/02/2008,0.362
1/03/2008,0.321
2/03/2008,0.332
3/03/2008,0.329
4/03/2008,0.346
5/03/2008,0.401
6/03/2008,0.425
7/03/2008,0.449
8/03/2008,0.457
9/03/2008,0.458
10/03/2008,0.469
11/03/2008,0.484
12/03/2008,0.475
13/03/2008,0.513
14/03/2008,0.498
15/03/2008,0.454
16/03/2008,0.42
17/03/2008,0.429
18/03/2008,0.448
19/03/2008,0.436
20/03/2008,0.441
21/03/2008,0.427
22/03/2008,0.384
23/03/2008,0.362
24/03/2008,0.328
25/03/2008,0.346
26/03/2008,0.393
27/03/2008,0.342
28/03/2008,0.292
29/03/2008,0.281
30/03/2008,0.29
31/03/2008,0.309
1/04/2008,0.327
2/04/2008,0.329
3/04/2008,0.357
4/04/2008,0.268
5/04/2008,0.271
6/04/2008,0.248
7/04/2008,0.275
8/04/2008,0.253
9/04/2008,0.238
10/04/2008,0.276
11/04/2008,0.268
12/04/2008,0.303
13/04/2008,0.26
14/04/2008,0.266
15/04/2008,0.225
16/04/2008,0.223
17/04/2008,0.23
18/04/2008,0.212
19/04/2008,0.197
20/04/2008,0.202
21/04/2008,0.194
22/04/2008,0.19
23/04/2008,0.183
24/04/2008,0.176
25/04/2008,0.178
26/04/2008,0.198
27/04/2008,0.245
28/04/2008,0.234
29/04/2008,0.199
30/04/2008,0.18
1/05/2008,0.181
2/05/2008,0.187
3/05/2008,0.171
4/05/2008,0.169
5/05/2008,0.164
6/05/2008,0.176
7/05/2008,0.183
8/05/2008,0.186
9/05/2008,0.175
10/05/2008,0.17
11/05/2008,0.164
12/05/2008,0.154
13/05/2008,0.147
14/05/2008,0.142
15/05/2008,0.139
16/05/2008,0.142
17/05/2008,0.161
18/05/2008,0.158
19/05/2008,0.144
20/05/2008,0.136
21/05/2008,0.14
22/05/2008,0.132
23/05/2008,0.117
24/05/2008,0.096
25/05/2008,0.091
26/05/2008,0.094
27/05/2008,0.097
28/05/2008,0.102
29/05/2008,0.099
30/05/2008,0.069
31/05/2008,0.066
1/06/2008,0.062
2/06/2008,0.06
3/06/2008,0.053
4/06/2008,0.054
5/06/2008,0.054
6/06/2008,0.099
7/06/2008,0.1
8/06/2008,0.062
9/06/2008,0.062
10/06/2008,0.109
11/06/2008,0.058
12/06/2008,0.059
13/06/2008,0.053
14/06/2008,0.049
15/06/2008,0.046
16/06/2008,0.042
17/06/2008,0.028
18/06/2008,0.027
19/06/2008,0.035
20/06/2008,0.036
21/06/2008,0.026
22/06/2008,0.032
23/06/2008,0.029
24/06/2008,0.036
25/06/2008,0.025
26/06/2008,0.017
27/06/2008,0.022
28/06/2008,0.011
29/06/2008,0.015
30/06/2008,0.016
1/07/2008,0.023
2/07/2008,0.026
3/07/2008,0.031
4/07/2008,0.015
5/07/2008,0.01
6/07/2008,0.003
7/07/2008,0.016
8/07/2008,0.015
9/07/2008,0.002
10/07/2008,0
11/07/2008,0
