#Bulk Export - Points every 1 day(s),,,,,
,,A4261148,,A4260536,
,,Burra Creek at Worlds End (Low Flow),,Burra Creek at Worlds End,
,,Discharge.Best Available,Grade Code,Discharge.Best Available,Grade Code
Start of Interval (UTC+09:30),End of Interval (UTC+09:30),Average (ML/day),,Average (ML/day),
1973-12-31 00:00:00,1974-01-01 00:00:00,,,NaN,-2
1974-01-01 00:00:00,1974-01-02 00:00:00,,,2.4395,15
1974-01-02 00:00:00,1974-01-03 00:00:00,,,2.6526,15
1974-01-03 00:00:00,1974-01-04 00:00:00,,,2.8658,15
1974-01-04 00:00:00,1974-01-05 00:00:00,,,3.0789,15
1974-01-05 00:00:00,1974-01-06 00:00:00,,,3.2920,15
1974-01-06 00:00:00,1974-01-07 00:00:00,,,3.5051,15
1974-01-07 00:00:00,1974-01-08 00:00:00,,,3.7183,15
1974-01-08 00:00:00,1974-01-09 00:00:00,,,3.9314,15
1974-01-09 00:00:00,1974-01-10 00:00:00,,,4.1445,15
1974-01-10 00:00:00,1974-01-11 00:00:00,,,4.3576,15
1974-01-11 00:00:00,1974-01-12 00:00:00,,,4.5708,15
1974-01-12 00:00:00,1974-01-13 00:00:00,,,4.7839,15
1974-01-13 00:00:00,1974-01-14 00:00:00,,,4.9970,15
1974-01-14 00:00:00,1974-01-15 00:00:00,,,5.2101,15
1974-01-15 00:00:00,1974-01-16 00:00:00,,,5.3905,15
1974-01-16 00:00:00,1974-01-17 00:00:00,,,5.4960,15
1974-01-17 00:00:00,1974-01-18 00:00:00,,,5.4753,30
1974-01-18 00:00:00,1974-01-19 00:00:00,,,5.1181,30
1974-01-19 00:00:00,1974-01-20 00:00:00,,,5.0306,30
1974-01-20 00:00:00,1974-01-21 00:00:00,,,4.9590,30
1974-01-21 00:00:00,1974-01-22 00:00:00,,,4.9212,30
1974-01-22 00:00:00,1974-01-23 00:00:00,,,4.8403,30
1974-01-23 00:00:00,1974-01-24 00:00:00,,,4.4806,30
1974-01-24 00:00:00,1974-01-25 00:00:00,,,4.3759,30
1974-01-25 00:00:00,1974-01-26 00:00:00,,,4.4918,30
1974-01-26 00:00:00,1974-01-27 00:00:00,,,4.4985,30
